Nama Produk,Harga Sekarang,Harga Asli,Diskon,Toko,Lokasi,Rating,Terjual,Harga,Berat per Gram,Harga per Gram
Kopi Robusta Aceh Gayo Sumatra Coffee Roasted Bean Espresso Coffe 1 Kg,Rp220.000,Rp275.000,20%,Empo Coffee,,5.0,250.0,220000,1000.0,220.0
Biji Kopi Bubuk Robusta Gayo Aceh Coffee Roast Beans Espresso Tubruk 500gr Natural Sweet,Rp118.700,Rp345.900,66%,Second Step Coffee,,5.0,1000.0,118700,500.0,237.4
Kopi Robusta Aceh Gayo Sumatra Coffee Roast Bean Espresso Coffe 500 gr,Rp125.000,Rp145.000,14%,Empo Coffee,,4.9,1000.0,125000,500.0,250.0
Kenal Coffee Gayo Single Origin Kopi 100% Arabika 250 Gr - Biji Espresso Petik Merah,Rp81.180,Rp105.000,23%,KENAL Indonesian Roastery,,4.9,100.0,81180,250.0,324.72
Kopi Robusta Aceh Gayo Sumatra Coffee Roast Bean Espresso Coffe 200 gr,Rp65.000,Rp95.000,32%,Empo Coffee,,5.0,2000.0,65000,200.0,325.0
Kopi Arabika Gayo Blend Coffee Espresso 500gr Biji Bubuk Premium Coffe,Rp168.800,Rp295.900,43%,Second Step Coffee,,5.0,250.0,168800,500.0,337.6
Kopi Arabika Aceh Gayo Sumatra Arabica Coffee Bean Coffe Beans 1 Kg,Rp350.000,Rp520.000,33%,Empo Coffee,,5.0,70.0,350000,1000.0,350.0
Kopi Arabika Gayo Blend Coffee Espresso 200gr Biji Bubuk Premium Coffe,Rp73.800,Rp189.900,61%,Second Step Coffee,,5.0,250.0,73800,200.0,369.0
Kopi Arabika Aceh Gayo Sumatra Arabica Coffee Bean Coffe Beans 500 gr,Rp185.000,Rp275.000,33%,Empo Coffee,,5.0,500.0,185000,500.0,370.0
Kopi Arabica Gayo Natural Coffee Arabika Asli Tanpa Gula Biji Bubuk Coffe Beans 1KG,Rp378.800,Rp378.800,0%,Second Step Coffee,,5.0,100.0,378800,1000.0,378.8
Kopi Arabica Gayo Peaberry Coffee Arabika Asli Tanpa Gula Biji Bubuk Coffe Beans 500gr,Rp193.800,Rp320.000,39%,Second Step Coffee,,5.0,90.0,193800,500.0,387.6
Kopi Arabica Gayo Honey Coffee Arabika Asli Tanpa Gula Biji Bubuk Coffe Beans 500gr,Rp198.800,Rp300.900,34%,Second Step Coffee,,5.0,500.0,198800,500.0,397.6
Biji Kopi Bubuk Arabika Gayo Aceh Sumatra Arabica Coffee Beans 200gr,Rp79.900,Rp139.900,43%,Sakha Coffee Roastery,,5.0,10000.0,79900,200.0,399.5
Kopi Robusta Aceh Gayo Sumatra Coffee Roast Bean Espresso Coffe 100 gr,Rp40.000,Rp70.000,43%,Empo Coffee,,5.0,1000.0,40000,100.0,400.0
Biji Kopi Arabika Gayo Natural Arabica Coffee Beans Sakha Roastery 1Kg,Rp414.800,Rp569.900,27%,Sakha Coffee Roastery,,5.0,250.0,414800,1000.0,414.8
Kopi Arabika Gayo Peaberry Coffee Roast Bean Espresso Roasted Beans Biji Bubuk 500 Gram,Rp219.800,Rp419.900,48%,Sakha Coffee Roastery,,5.0,750.0,219800,500.0,439.6
Biji Kopi Arabika Gayo Honey Arabica Coffee Beans Sakha Roastery 500gr,Rp219.800,Rp419.900,48%,Sakha Coffee Roastery,,5.0,750.0,219800,500.0,439.6
Semekar Coffee - Biji Bubuk Kopi Arabika Aceh Gayo Specialty Fresh Roasted Beans 500g 1kg,Rp229.900,Rp300.000,23%,Semekar Coffee,,5.0,1000.0,229900,500.0,459.8
Kopi Arabika Gayo Natural Arabica Specialty Coffee Bean 200gr Biji Bubuk,Rp93.800,Rp195.900,52%,Second Step Coffee,,5.0,750.0,93800,200.0,469.0
Kopi Arabika Aceh Gayo Sumatra Arabica Coffee Bean Coffe Beans 200 gr,Rp95.000,Rp150.000,37%,Empo Coffee,,5.0,9000.0,95000,200.0,475.0
Kopi Arabika Gayo Wine Aceh Sumatra Arabica Coffee Roasted Beans 1 Kg,Rp495.000,Rp620.000,20%,Empo Coffee,,5.0,90.0,495000,1000.0,495.0
Kopi Arabika Gayo Natural Coffee Roast Bean Espresso Roasted Beans Biji Bubuk 200 Gram,Rp99.800,Rp194.900,49%,Sakha Coffee Roastery,,5.0,1000.0,99800,200.0,499.0
Kopi Arabika Gayo Special House Blend Coffee Bean 100g Biji Bubuk Asli,Rp50.800,Rp120.900,58%,Sakha Coffee Roastery,,5.0,250.0,50800,100.0,508.0
Kopi Arabika Gayo Wine Aceh Sumatra Arabica Coffee Roasted Beans 500gr,Rp270.000,Rp350.000,23%,Empo Coffee,,4.9,250.0,270000,500.0,540.0
Kopi Gayo Honey Arabica Coffee Arabika Asli Tanpa Gula Biji Bubuk Coffe Beans 100gr,Rp57.800,Rp110.900,48%,Second Step Coffee,,5.0,250.0,57800,100.0,578.0
Kopi Arabika Gayo Wine Arabica Specialty Coffee Roast Beans 100 Gram,Rp59.800,Rp99.900,40%,Sakha Coffee Roastery,,5.0,1000.0,59800,100.0,598.0
Kopi Arabika Aceh Gayo Sumatra Arabica Coffee Bean Coffe Beans 100 gr,Rp60.000,Rp90.000,33%,Empo Coffee,,5.0,3000.0,60000,100.0,600.0
Drip Bag Coffee Robusta Aceh Gayo Minuman Kopi Instan 12 gr Tanpa Gula,Rp7.499,Rp27.500,73%,Empo Coffee,,5.0,250.0,7499,12.0,624.92
Biji Kopi Bubuk Arabika Gayo Wine Aceh Sumatra Arabica Coffee Roasted Beans 200gr,Rp125.000,Rp225.000,44%,Empo Coffee,,4.9,4000.0,125000,200.0,625.0
Kopi Arabika Gayo Peaberry Coffee Roast Bean Espresso Roasted Beans Biji Bubuk 100 Gram,Rp64.800,Rp149.900,57%,Sakha Coffee Roastery,,5.0,250.0,64800,100.0,648.0
Maharaja Coffee Kopi Luwak Gayo Coffee Green beans 1kg 100% Wild,Rp649.000,Rp649.000,0%,Maharaja Coffee,,5.0,27.0,649000,1000.0,649.0
Maharaja Coffee Nano Lot Kopi Indonesia Specialty Single Origin Arabica Fresh Roasted 120g - Gayo Mandheling Sumatra Jawa Bali Flores Sulawesi Toraja Gowa Papua,Rp86.500,Rp86.500,0%,Maharaja Coffee,,5.0,100.0,86500,120.0,720.83
Maharaja Coffee Organica ACEH GAYO 200g Kopi Sumatra Aceh Sangrai Arabika Biji / Bubuk Kemasan Kaleng Canister,Rp148.000,Rp148.000,0%,Maharaja Coffee,,5.0,25.0,148000,200.0,740.0
Kopi Arabika Gayo Wine Aceh Sumatra Arabica Coffee Roasted Beans 100gr,Rp80.000,Rp125.000,36%,Empo Coffee,,4.9,1000.0,80000,100.0,800.0
Drip Bag Arabica Coffee Gayo Aceh Minuman Kopi Arabika Instan 12 Gram,Rp9.999,Rp34.900,71%,Empo Coffee,,4.9,500.0,9999,12.0,833.25
Kopi Luwak Liar Arabika Gayo Aceh Specialty Arabica Coffee Roast Beans 100 Gram,Rp89.800,Rp115.900,23%,Second Step Coffee,,5.0,100.0,89800,100.0,898.0
Maharaja Coffee Wild LUWAK GAYO VINTAGE Arabica Kopi Luwak Murni 120g Kemasan Kaleng Canister,Rp109.000,Rp218.000,50%,Maharaja Coffee,,5.0,50.0,109000,120.0,908.33
Maharaja Coffee Wild Kopi Luwak Arabika Sumatra Green Gayo 1kg Econo Pack - Indonesia luxury coffee pure & ethical,Rp1.440.000,Rp1.440.000,0%,Maharaja Coffee,,5.0,1.0,1440000,1000.0,1440.0
WoCA Kopi Luwak Gayo 125 gram Bean,Rp353.999,Rp510.000,31%,WoCA Indonesia,,5.0,18.0,353999,125.0,2831.99
Maharaja Drip Bag Coffee Organica Aceh Gayo Arabika Kopi Dalam Filter Tanpa Ampas isi 10gr 6 drip/Pack,Rp73.700,Rp73.700,0%,Maharaja Coffee,,5.0,5.0,73700,10.0,7370.0
