Nama Produk,Harga,Rating,Berat (Gram),Harga per Gram
Kopi Robusta Aceh Gayo Sumatra Coffee Roasted Bean Espresso Coffe 1 Kg,220000,5.0,1000.0,220.0
Biji Kopi Bubuk Robusta Gayo Aceh Coffee Roast Beans Espresso Tubruk 500gr Natural Sweet,118800,5.0,500.0,237.6
ARUTALA Kopi Robusta Gayo 500 gram,119545,5.0,500.0,239.09
Kopi Robusta Aceh Gayo Sumatra Coffee Roast Bean Espresso Coffe 500 gr,125000,4.9,500.0,250.0
Kopi Robusta Aceh Gayo Sumatra Coffee Roast Bean Espresso Coffe 200 gr,65000,5.0,200.0,325.0
Kopi Arabika Gayo Blend Coffee Espresso 500gr Biji Bubuk Premium Coffe,169900,5.0,500.0,339.8
Kopi Arabika Aceh Gayo Sumatra Arabica Coffee Bean Coffe Beans 1 Kg,350000,5.0,1000.0,350.0
Kopi Arabika Gayo Blend Coffee Espresso 200gr Biji Bubuk Premium Coffe,73800,5.0,200.0,369.0
Kopi Arabika Aceh Gayo Sumatra Arabica Coffee Bean Coffe Beans 500 gr,185000,5.0,500.0,370.0
Kopi Arabica Gayo Natural Coffee Arabika Asli Tanpa Gula Biji Bubuk Coffe Beans 1KG,378800,5.0,1000.0,378.8
Kopi Arabica Gayo Peaberry Coffee Arabika Asli Tanpa Gula Biji Bubuk Coffe Beans 500gr,193800,5.0,500.0,387.6
Kopi Arabika Gayo Wine Aceh Sumatra Arabica Coffee Roasted Beans 500gr,194998,4.9,500.0,390.0
Biji Kopi Bubuk Arabika Gayo Aceh Sumatra Arabica Coffee Beans 200gr,79900,5.0,200.0,399.5
Kopi Robusta Aceh Gayo Sumatra Coffee Roast Bean Espresso Coffe 100 gr,40000,5.0,100.0,400.0
Biji Kopi Arabika Gayo Natural Arabica Coffee Beans Sakha Roastery 1Kg,414900,5.0,1000.0,414.9
Kopi Arabika Gayo Peaberry Coffee Roast Bean Espresso Roasted Beans Biji Bubuk 500 Gram,219900,5.0,500.0,439.8
Semekar Coffee - Biji Bubuk Kopi Arabika Aceh Gayo Specialty Fresh Roasted Beans 500g 1kg,229900,5.0,500.0,459.8
Kopi Arabika Gayo Aceh 200gr Free Kopi Tubruk Nusantara Arabica Coffee,93800,5.0,200.0,469.0
Kopi Arabika Gayo Natural Arabica Specialty Coffee Bean 200gr Biji Bubuk,93800,5.0,200.0,469.0
Kopi Arabika Aceh Gayo Sumatra Arabica Coffee Bean Coffe Beans 200 gr,95000,5.0,200.0,475.0
Kopi Arabika Gayo Wine Aceh Sumatra Arabica Coffee Roasted Beans 1 Kg,495000,5.0,1000.0,495.0
Kopi Arabika Gayo Natural Coffee Roast Bean Espresso Roasted Beans Biji Bubuk 200 Gram,99900,5.0,200.0,499.5
Kopi Arabika Gayo Special House Blend Coffee Bean 100g Biji Bubuk Asli,50900,5.0,100.0,509.0
Kopi Gayo Honey Arabica Coffee Arabika Asli Tanpa Gula Biji Bubuk Coffe Beans 100gr,57800,5.0,100.0,578.0
Kopi Arabika Gayo Wine Arabica Specialty Coffee Roast Beans 100 Gram,59800,5.0,100.0,598.0
Kopi Arabika Aceh Gayo Sumatra Arabica Coffee Bean Coffe Beans 100 gr,60000,5.0,100.0,600.0
Drip Bag Coffee Robusta Aceh Gayo Minuman Kopi Instan 12 gr Tanpa Gula,7499,5.0,12.0,624.92
Biji Kopi Bubuk Arabika Gayo Wine Aceh Sumatra Arabica Coffee Roasted Beans 200gr,125000,4.9,200.0,625.0
Kopi Arabika Gayo Peaberry Coffee Roast Bean Espresso Roasted Beans Biji Bubuk 100 Gram,64900,5.0,100.0,649.0
Kopi Arabika Gayo Wine Aceh Sumatra Arabica Coffee Roasted Beans 100gr,80000,4.9,100.0,800.0
Drip Bag Arabica Coffee Gayo Aceh Minuman Kopi Arabika Instan 12 Gram,9999,4.9,12.0,833.25
Kopi Luwak Liar Arabika Gayo Aceh Specialty Arabica Coffee Roast Beans 100 Gram,89800,5.0,100.0,898.0
WoCA Kopi Luwak Gayo 125 gram Bean,353999,5.0,125.0,2831.99
